Zip Code,Choice1,Choice2,Choice3,Choice4
46860,Texas,Georgia,Pennsylvania,California
79768,Texas,California,Georgia,Pennsylvania
75044,Texas,California,Georgia,Pennsylvania
10911,Pennsylvania,Georgia,Texas,California
72865,Georgia,California,Texas,Pennsylvania
20757,Pennsylvania,Georgia,Texas,California
95528,California,Texas,Georgia,Pennsylvania
95547,California,Texas,Georgia,Pennsylvania
07018,Pennsylvania,Georgia,Texas,California
50594,Texas,Pennsylvania,Georgia,California
81050,Texas,California,Pennsylvania,Georgia
84051,California,Texas,Pennsylvania,Georgia
15949,Pennsylvania,Georgia,Texas,California
79749,Texas,California,Georgia,Pennsylvania
77862,Texas,California,Georgia,Pennsylvania
57790,Pennsylvania,Texas,California,Georgia
12122,Pennsylvania,Georgia,Texas,California
70660,Texas,California,Georgia,Pennsylvania
01242,Pennsylvania,Texas,Georgia,California
45459,Georgia,Pennsylvania,Texas,California
70436,Texas,Georgia,Pennsylvania,California
24520,Georgia,Pennsylvania,Texas,California
25303,Georgia,Pennsylvania,Texas,California
72927,Texas,Georgia,Pennsylvania,California
41544,Georgia,Texas,Pennsylvania,California
18344,Pennsylvania,Georgia,Texas,California
06241,Pennsylvania,Georgia,Texas,California
16692,Georgia,Texas,Pennsylvania,California
15940,Pennsylvania,Georgia,Texas,California
28236,Pennsylvania,Georgia,Texas,California
38379,Texas,Georgia,California,Pennsylvania
80005,Texas,California,Pennsylvania,Georgia
46157,Texas,Pennsylvania,Georgia,California
72101,Texas,Georgia,Pennsylvania,California
32693,Georgia,Texas,Pennsylvania,California
94261,Texas,California,Georgia,Pennsylvania
64642,Texas,Georgia,Pennsylvania,California
57252,Texas,California,Pennsylvania,Georgia
75490,Georgia,Texas,California,Pennsylvania
58734,Texas,California,Georgia,Pennsylvania
45692,Pennsylvania,Texas,Georgia,California
68881,Texas,California,Pennsylvania,Georgia
14736,Pennsylvania,Georgia,Texas,California
36082,Texas,Georgia,Pennsylvania,California
